Postleitzahl / Code Postal / Codice Postale;Ort / Ville / Città;Kanton;Canton;Cantone;Abkürzung / Abréviation / Abbreviazione;Land;Pays;Paese
1073;Savigny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1076;Ferlens VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1077;Servion;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1078;Essertes;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1080;Les Cullayes;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1081;Montpreveyres;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1082;Corcelles-le-Jorat;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1083;Mézières VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1084;Carrouge VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1085;Vulliens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1088;Ropraz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1090;La Croix (Lutry);Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1091;Aran;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1091;Chenaux;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1091;Grandvaux;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1092;Belmont-sur-Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1093;La Conversion;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1094;Paudex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1095;Lutry;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1096;Villette (Lavaux);Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1096;Cully;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1097;Riex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1098;Epesses;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1110;Morges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1112;Echichens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1113;St-Saphorin-sur-Morges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1114;Colombier VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1115;Vullierens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1116;Cottens VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1117;Grancy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1121;Bremblens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1122;Romanel-sur-Morges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1123;Aclens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1124;Gollion;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1125;Monnaz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1126;Vaux-sur-Morges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1127;Clarmont;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1128;Reverolle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1131;Tolochenaz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1132;Lully VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1134;Vufflens-le-Château;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1134;Chigny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1135;Denens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1136;Bussy-Chardonney;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1141;Sévery;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1142;Pampigny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1143;Apples;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1144;Ballens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1145;Bière;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1146;Mollens VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1147;Montricher;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;Cuarnens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;Moiry VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;La Praz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;Mont-la-Ville;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;Chavannes-le-Veyron;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;Mauraz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;Villars-Bozon;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;La Coudre;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1148;L'Isle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1149;Berolle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1162;St-Prex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1163;Etoy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1164;Buchillon;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1165;Allaman;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1166;Perroy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1167;Lussy-sur-Morges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1168;Villars-sous-Yens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1169;Yens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1170;Aubonne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1172;Bougy-Villars;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1173;Féchy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1174;Montherod;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1174;Pizy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1175;Lavigny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1176;St-Livres;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1180;Tartegnin;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1180;Rolle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1182;Gilly;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1183;Bursins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1184;Vinzel;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1184;Luins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1185;Mont-sur-Rolle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1186;Essertines-sur-Rolle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1187;St-Oyens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1188;Gimel;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1188;St-George;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1189;Saubraz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1195;Dully;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1195;Bursinel;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1196;Gland;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1197;Prangins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1200;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1201;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1202;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1203;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1204;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1205;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1206;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1207;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1208;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1209;Genève;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1212;Grand-Lancy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1213;Petit-Lancy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1213;Onex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1214;Vernier;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1215;Genève 15 Aéroport;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1216;Cointrin;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1217;Meyrin;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1218;Le Grand-Saconnex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1219;Le Lignon;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1219;Aïre;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1219;Châtelaine;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1220;Les Avanchets;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1222;Vésenaz;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1223;Cologny;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1224;Chêne-Bougeries;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1225;Chêne-Bourg;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1226;Thônex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1227;Les Acacias;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1227;Carouge GE;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1228;Plan-les-Ouates;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1231;Conches;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1232;Confignon;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1233;Bernex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1234;Vessy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1236;Cartigny;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1237;Avully;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1239;Collex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1241;Puplinge;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1242;Satigny;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1243;Presinge;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1244;Choulex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1245;Collonge-Bellerive;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1246;Corsier GE;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1247;Anières;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1248;Hermance;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1251;Gy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1252;Meinier;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1253;Vandoeuvres;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1254;Jussy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1255;Veyrier;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1256;Troinex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1257;La Croix-de-Rozon;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1258;Perly;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1260;Nyon;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1261;Longirod;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1261;Marchissy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1261;Le Vaud;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1262;Eysins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1263;Crassier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1264;St-Cergue;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1265;La Cure;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1266;Duillier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1267;Vich;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1267;Coinsins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1268;Burtigny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1268;Begnins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1269;Bassins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1270;Trélex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1271;Givrins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1272;Genolier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1273;Le Muids;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1273;Arzier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1274;Grens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1274;Signy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1275;Chéserex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1276;Gingins;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1277;Arnex-sur-Nyon;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1277;Borex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1278;La Rippe;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1279;Bogis-Bossey;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1279;Chavannes-de-Bogis;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1281;Russin;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1283;Dardagny;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1283;La Plaine;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1284;Chancy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1285;Athenaz (Avusy);Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1286;Soral;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1287;Laconnex;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1288;Aire-la-Ville;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1290;Versoix;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1290;Chavannes-des-Bois;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1291;Commugny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1292;Chambésy;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1293;Bellevue;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1294;Genthod;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1295;Mies;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1295;Tannay;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1296;Coppet;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1297;Founex;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1298;Céligny;Genf;Genève;Ginevra;GE;Schweiz;Suisse;Svizzera
1299;Crans-près-Céligny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1302;Vufflens-la-Ville;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1303;Penthaz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1304;Senarclens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1304;Dizy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1304;Allens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1304;Cossonay-Ville;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1305;Penthalaz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1306;Daillens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1307;Lussery-Villars;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1308;La Chaux (Cossonay);Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1312;Eclépens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1313;Ferreyres;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1315;La Sarraz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1316;Chevilly;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1317;Orny;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1318;Pompaples;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1321;Arnex-sur-Orbe;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1322;Croy;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1323;Romainmôtier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1324;Premier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1325;Vaulion;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1326;Juriens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1329;Bretonnières;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1337;Vallorbe;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1338;Ballaigues;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1341;Orient;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1342;Le Pont;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1343;Les Charbonnières;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1344;L'Abbaye;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1345;Le Lieu;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1346;Les Bioux;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1347;Le Solliat;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1347;Le Sentier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1348;Le Brassus;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1350;Orbe;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1352;Agiez;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1353;Bofflens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1354;Montcherand;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1355;Sergey;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1355;L'Abergement;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1356;Les Clées;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1356;La Russille;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1357;Lignerolle;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1358;Valeyres-sous-Rances;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1372;Bavois;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1373;Chavornay;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
